gap,M,sigma,act_rate,abstain_rate,mean_T,wrong_cert_rate
0.0,2,0.1,0.42,0.58,69.9,0.0
0.0,2,0.2,0.295,0.705,74.5,0.0
0.0,3,0.1,0.13,0.87,83.9,0.0
0.0,3,0.2,0.055,0.945,86.5,0.0
0.0,5,0.1,0.02,0.98,89.5,0.0
0.0,5,0.2,0.01,0.99,89.4,0.0
0.005,2,0.1,0.455,0.545,67.5,0.0
0.005,2,0.2,0.275,0.725,74.5,0.0
0.005,3,0.1,0.14,0.86,84.5,0.0
0.005,3,0.2,0.065,0.935,87.5,0.0
0.005,5,0.1,0.015,0.985,89.2,0.0
0.005,5,0.2,0.01,0.99,89.6,0.0
0.01,2,0.1,0.47,0.53,66.8,0.025
0.01,2,0.2,0.34,0.66,71.2,0.015
0.01,3,0.1,0.135,0.865,86.1,0.005
0.01,3,0.2,0.05,0.95,87.6,0.0
0.01,5,0.1,0.045,0.955,88.6,0.0
0.01,5,0.2,0.01,0.99,89.2,0.005
0.02,2,0.1,0.62,0.38,62.1,0.045
0.02,2,0.2,0.385,0.615,72.7,0.09
0.02,3,0.1,0.355,0.645,77.3,0.02
0.02,3,0.2,0.12,0.88,84.9,0.015
0.02,5,0.1,0.095,0.905,87.9,0.01
0.02,5,0.2,0.015,0.985,89.4,0.005
0.05,2,0.1,0.985,0.015,33.2,0.005
0.05,2,0.2,0.635,0.365,63.9,0.01
0.05,3,0.1,0.965,0.035,47.8,0.005
0.05,3,0.2,0.3,0.7,80.0,0.03
0.05,5,0.1,0.855,0.145,61.9,0.0
0.05,5,0.2,0.1,0.9,86.9,0.005
0.1,2,0.1,1.0,0.0,16.7,0.0
0.1,2,0.2,0.96,0.04,36.7,0.005
0.1,3,0.1,1.0,0.0,21.5,0.0
0.1,3,0.2,0.905,0.095,56.3,0.0
0.1,5,0.1,1.0,0.0,28.5,0.0
0.1,5,0.2,0.725,0.275,70.0,0.015
