collection,repeat_id,decision,final_T,final_B_pool,k_requested,selected_policy,reference_policy,loss,success,param_error,seed
trec-covid,0,recalibration,5,466,5,ad_probe,ad_c(full_target_scalar_reference),0.006038653492743379,False,90.58444379244219,2000032
trec-covid,0,selection,5,466,5,ad_probe,best_in_menu_on_eval,0.0,True,,2000032
trec-covid,1,recalibration,5,449,5,ad_probe,ad_c(full_target_scalar_reference),0.004201937130885056,True,67.96028920734346,2001032
trec-covid,1,selection,5,449,5,ad_probe,best_in_menu_on_eval,0.0,True,,2001032
trec-covid,2,recalibration,5,481,5,ad_probe,ad_c(full_target_scalar_reference),0.003232276446225396,True,46.78750610312363,2002032
trec-covid,2,selection,5,481,5,ad_probe,best_in_menu_on_eval,0.0,True,,2002032
trec-covid,3,recalibration,5,392,5,ad_probe,ad_c(full_target_scalar_reference),0.00354705465279119,True,58.93261963858998,2003032
trec-covid,3,selection,5,392,5,ad_probe,best_in_menu_on_eval,0.0,True,,2003032
trec-covid,4,recalibration,5,500,5,ad_probe,ad_c(full_target_scalar_reference),0.0013176708385718022,True,19.07601722542472,2004032
trec-covid,4,selection,5,500,5,ad_probe,best_in_menu_on_eval,0.0,True,,2004032
trec-covid,5,recalibration,5,456,5,ad_probe,ad_c(full_target_scalar_reference),0.0024708612334062435,True,35.812768091559434,2005032
trec-covid,5,selection,5,456,5,ad_probe,best_in_menu_on_eval,0.0,True,,2005032
trec-covid,6,recalibration,5,463,5,ad_probe,ad_c(full_target_scalar_reference),0.003191883131429263,True,47.33116672023982,2006032
trec-covid,6,selection,5,463,5,ad_probe,best_in_menu_on_eval,0.0,True,,2006032
trec-covid,7,recalibration,5,458,5,ad_probe,ad_c(full_target_scalar_reference),0.0038871478454806374,True,58.93261963858998,2007032
trec-covid,7,selection,5,458,5,ad_probe,best_in_menu_on_eval,0.0,True,,2007032
trec-covid,8,recalibration,5,434,5,ad_probe,ad_c(full_target_scalar_reference),0.006252331637765396,False,89.55941982348088,2008032
trec-covid,8,selection,5,434,5,ad_probe,best_in_menu_on_eval,0.0,True,,2008032
trec-covid,9,recalibration,5,441,5,ad_probe,ad_c(full_target_scalar_reference),0.004496007334157767,True,69.46719569701696,2009032
trec-covid,9,selection,5,441,5,ad_probe,best_in_menu_on_eval,0.0,True,,2009032
trec-covid,10,recalibration,5,455,5,ad_probe,ad_c(full_target_scalar_reference),0.003710993093340803,True,58.93261963858998,2010032
trec-covid,10,selection,5,455,5,ad_probe,best_in_menu_on_eval,0.0,True,,2010032
trec-covid,11,recalibration,5,430,5,ad_probe,ad_c(full_target_scalar_reference),0.005677331406752098,False,78.23984019904788,2011032
