collection,untouched,decision,act_rate,abstain_rate,mean_T,mean_B_pool,wrong_cert_rate
arguana,False,recalibration,0.94,0.06,18.4,1158.9,0.04
arguana,False,selection,0.62,0.38,58.4,3658.18,0.08
climate-fever,True,recalibration,0.8,0.2,65.6,6129.44,0.0
climate-fever,True,selection,0.56,0.44,57.2,5352.74,0.1
dbpedia-entity,False,recalibration,0.74,0.26,64.8,5912.3,0.02
dbpedia-entity,False,selection,0.92,0.08,46.0,4211.04,0.02
fever,True,recalibration,0.16,0.84,86.8,7890.48,0.04
fever,True,selection,0.92,0.08,48.4,4404.72,0.04
fiqa,False,recalibration,0.52,0.48,75.2,6749.52,0.0
fiqa,False,selection,0.6,0.4,64.0,5752.96,0.04
hotpotqa,True,recalibration,0.54,0.46,74.4,7465.28,0.04
hotpotqa,True,selection,0.82,0.18,44.8,4496.24,0.08
nfcorpus,False,recalibration,0.54,0.46,66.8,5775.16,0.06
nfcorpus,False,selection,0.88,0.12,41.2,3544.6,0.02
nq,True,recalibration,0.44,0.56,80.8,6276.66,0.0
nq,True,selection,0.66,0.34,66.8,5201.12,0.04
quora,False,recalibration,0.06,0.94,88.4,6463.9,0.0
quora,False,selection,0.7,0.3,53.6,3914.48,0.08
scidocs,False,recalibration,0.92,0.08,44.8,3668.54,0.0
scidocs,False,selection,0.64,0.36,59.2,4851.64,0.04
scifact,False,recalibration,0.78,0.22,59.2,4945.22,0.0
scifact,False,selection,0.64,0.36,52.8,4410.62,0.14
trec-covid,False,recalibration,0.04,0.96,10.0,909.0,0.02
trec-covid,False,selection,1.0,0.0,10.0,909.0,0.0
webis-touche2020,False,recalibration,0.08,0.92,10.0,739.62,0.0
webis-touche2020,False,selection,0.24,0.76,10.0,739.62,0.0
