collection,untouched,k_requested,k_effective,clipped,n,cal_rate,sel_rate,cal_loss_mean,regret_mean,regret_p90,cal_se,sel_se
arguana,False,5,5,False,50,0.88,0.78,0.002174059345365555,0.01589975540388068,0.06272623759775797,0.04595650117230423,0.05858327406350723
arguana,False,10,10,False,50,0.94,0.8,0.001475098922090326,0.007376717302492626,0.021709194554719584,0.03358571124749334,0.0565685424949238
arguana,False,20,20,False,50,1.0,0.92,0.0010648663505806364,0.0025597247984407746,0.000886614387696648,0.0,0.038366652186501746
arguana,False,50,50,False,50,0.98,0.98,0.0010208245540103947,0.0009242921577480767,0.0,0.019798989873223337,0.019798989873223337
arguana,False,100,100,False,50,1.0,1.0,0.00032669729453802963,0.0,0.0,0.0,0.0
climate-fever,True,5,5,False,50,1.0,0.34,0.0011427913771051023,0.017706959408801393,0.05446637570957686,0.0,0.0669925368977769
climate-fever,True,10,10,False,50,1.0,0.34,0.0010558621706162658,0.017384012921661328,0.04875490120080285,0.0,0.0669925368977769
climate-fever,True,20,20,False,50,1.0,0.32,0.0007166905701559101,0.011973871389419384,0.02634826237701511,0.0,0.06596969000988256
climate-fever,True,50,50,False,50,1.0,0.66,0.0006218466905335662,0.006207878966116831,0.014113615901494687,0.0,0.0669925368977769
climate-fever,True,100,100,False,50,1.0,0.8,0.0005379228591772201,0.0037104362325917246,0.012854305727627054,0.0,0.0565685424949238
dbpedia-entity,False,5,5,False,50,0.8,0.8,0.0036042485335948697,0.006862567342497791,0.022100298353801645,0.0565685424949238,0.0565685424949238
dbpedia-entity,False,10,10,False,50,0.86,0.86,0.002741182759989662,0.005246916875488581,0.019178792286225863,0.04907137658554119,0.04907137658554119
dbpedia-entity,False,20,20,False,50,0.88,0.92,0.0018590431026893218,0.004614138607137736,0.007886353455143442,0.04595650117230423,0.038366652186501746
dbpedia-entity,False,50,50,False,50,0.98,0.98,0.0012049339626976252,0.002294052492713857,0.006040319638284467,0.019798989873223337,0.019798989873223337
dbpedia-entity,False,100,100,False,50,1.0,0.98,0.0009587969881753156,0.0012589631532024697,0.004551263029891357,0.0,0.019798989873223337
fever,True,5,5,False,50,0.24,0.26,0.011580523032095018,0.056242652015346666,0.11298376441452006,0.060398675482166,0.06203224967708329
fever,True,10,10,False,50,0.32,0.36,0.008714220414913897,0.04559569236690552,0.10047008240851606,0.06596969000988256,0.06788225099390856
fever,True,20,20,False,50,0.5,0.68,0.005497382474907521,0.019186499019947158,0.05943737512197299,0.07071067811865475,0.06596969000988256
fever,True,50,50,False,50,0.74,0.9,0.0035503836783509946,0.004575531970964658,0.0035631382925821083,0.06203224967708329,0.04242640687119285
fever,True,100,100,False,50,0.82,0.98,0.0027586849507910114,0.0010522803084484478,0.0,0.054332310828824504,0.019798989873223337
fiqa,False,5,5,False,50,0.86,0.22,0.002063529007589602,0.03324990346194731,0.06784857086316237,0.04907137658554119,0.05858327406350724
fiqa,False,10,10,False,50,0.92,0.22,0.001986285764297542,0.027650713985636483,0.06072204032347503,0.038366652186501746,0.05858327406350724
fiqa,False,20,20,False,50,0.9,0.44,0.001731519423282557,0.016663687195417533,0.03752660799784663,0.04242640687119285,0.07019971509913699
fiqa,False,50,50,False,50,0.98,0.64,0.000979200750939887,0.010586421142852416,0.03190927112314463,0.019798989873223337,0.06788225099390856
fiqa,False,100,100,False,50,1.0,0.8,0.0010302363897254463,0.004226105945640411,0.020191965340501643,0.0,0.0565685424949238
hotpotqa,True,5,5,False,50,0.5,0.42,0.006062339005113617,0.026340447819837912,0.06794751114561487,0.07071067811865475,0.06979971346646059
hotpotqa,True,10,10,False,50,0.76,0.42,0.003917708062446335,0.025426922742802498,0.050859213557322,0.060398675482166,0.06979971346646059
hotpotqa,True,20,20,False,50,0.86,0.62,0.002791436180352337,0.014864966344618744,0.04231402238786327,0.04907137658554119,0.06864400920692205
hotpotqa,True,50,50,False,50,0.98,0.84,0.001916525380929537,0.006463712961579104,0.03065463604072886,0.019798989873223337,0.051845925587262885
hotpotqa,True,100,100,False,50,1.0,0.96,0.0011831701156375086,0.0015267582213418752,0.0,0.0,0.02771281292110205
nfcorpus,False,5,5,False,50,0.44,0.76,0.006199135041324865,0.006896146591823594,0.027045557871742235,0.07019971509913699,0.060398675482166
nfcorpus,False,10,10,False,50,0.74,0.9,0.0032552221161143953,0.0029504137048549533,0.0057581485162590245,0.06203224967708329,0.04242640687119285
nfcorpus,False,20,20,False,50,0.86,0.84,0.002729152140997559,0.003579019369109095,0.013469756510081999,0.04907137658554119,0.051845925587262885
nfcorpus,False,50,50,False,50,0.96,0.96,0.0018582099343244778,0.001582819328403916,0.0037641750512512483,0.02771281292110205,0.02771281292110205
nfcorpus,False,100,100,False,50,0.98,1.0,0.0013627198174626404,0.00162811113164112,0.004233896775398119,0.019798989873223337,0.0
nq,True,5,5,False,50,0.7,0.14,0.0045788522993509394,0.05170662143666163,0.09309231995480906,0.06480740698407861,0.04907137658554119
nq,True,10,10,False,50,0.8,0.3,0.0031721221967316924,0.03847534627146884,0.06960657194209391,0.0565685424949238,0.0648074069840786
nq,True,20,20,False,50,0.98,0.54,0.0018863898662849698,0.023581601910711583,0.06177950490667701,0.019798989873223337,0.07048404074682439
nq,True,50,50,False,50,1.0,0.62,0.001652917237573318,0.017321758961259145,0.05250703636947025,0.0,0.06864400920692205
nq,True,100,100,False,50,1.0,0.96,0.0011929945551663935,0.0016882848404258842,0.0,0.0,0.02771281292110205
quora,False,5,5,False,50,0.08,0.42,0.020171499504454894,0.0448962534450588,0.16449421599224354,0.03836665218650176,0.06979971346646059
quora,False,10,10,False,50,0.1,0.48,0.017766832205046445,0.0350918686116265,0.11167460276981665,0.042426406871192854,0.07065408693062278
quora,False,20,20,False,50,0.4,0.46,0.008769144899925125,0.021403871971002787,0.06766162817046091,0.06928203230275509,0.07048404074682439
quora,False,50,50,False,50,0.38,0.62,0.006501684537502321,0.01007973880800861,0.026391262653803375,0.06864400920692205,0.06864400920692205
quora,False,100,100,False,50,0.7,0.9,0.004251222888741673,0.0033254288555982312,0.009490766514498618,0.06480740698407861,0.04242640687119285
scidocs,False,5,5,False,50,0.94,0.54,0.001694391839972687,0.011668724170918182,0.027544857582032636,0.03358571124749334,0.07048404074682439
scidocs,False,10,10,False,50,1.0,0.82,0.0007421787539997466,0.004613259639948799,0.015225775402795827,0.0,0.054332310828824504
scidocs,False,20,20,False,50,1.0,0.82,0.0005122542595389629,0.004134441526013121,0.013162567653649948,0.0,0.054332310828824504
scidocs,False,50,50,False,50,1.0,0.98,0.0003198854425316916,0.0013476993917725555,0.0034289906809787346,0.0,0.019798989873223337
scidocs,False,100,100,False,50,1.0,0.98,0.00030345224778661475,0.0011137561480562374,0.0029743869878544635,0.0,0.019798989873223337
scifact,False,5,5,False,50,0.76,0.34,0.004066744931151705,0.04074074591343217,0.11161034872574167,0.060398675482166,0.0669925368977769
scifact,False,10,10,False,50,0.88,0.16,0.002292352092352079,0.03020148816700541,0.059982758620689657,0.04595650117230423,0.05184592558726288
scifact,False,20,20,False,50,0.98,0.24,0.0014048185941043245,0.02153121838478981,0.06137499999999995,0.019798989873223337,0.060398675482166
scifact,False,50,50,False,50,1.0,0.56,0.001266603174603178,0.013395955599955602,0.03702857142857151,0.0,0.07019971509913697
scifact,False,100,100,False,50,1.0,0.66,0.001032460317460324,0.008837077922077927,0.026888961038961084,0.0,0.0669925368977769
trec-covid,False,5,5,False,50,0.44,1.0,0.005922778124543409,0.0,0.0,0.07019971509913699,0.0
trec-covid,False,10,10,False,50,0.68,1.0,0.0035712567534376917,0.0,0.0,0.06596969000988256,0.0
trec-covid,False,20,20,False,50,0.9,1.0,0.0024799275617305412,0.0,0.0,0.04242640687119285,0.0
trec-covid,False,50,25,True,50,0.88,1.0,0.00218375284255414,0.0,0.0,0.04595650117230423,0.0
trec-covid,False,100,25,True,50,0.94,1.0,0.0020325121251376223,0.0,0.0,0.03358571124749334,0.0
webis-touche2020,False,5,5,False,50,0.9,0.86,0.002531826163261889,0.004509132108279444,0.01375304052385927,0.04242640687119285,0.04907137658554119
webis-touche2020,False,10,10,False,50,1.0,0.94,0.0020948811322629244,0.0024912318531568646,0.005695219500224858,0.0,0.03358571124749334
webis-touche2020,False,20,20,False,50,0.86,0.94,0.00234564643978744,0.002095862537907566,0.0059692775389535635,0.04907137658554119,0.03358571124749334
webis-touche2020,False,50,24,True,50,0.96,0.9,0.0018388267973776346,0.0023534462859591365,0.009682108687333395,0.02771281292110205,0.04242640687119285
webis-touche2020,False,100,24,True,50,0.9,0.96,0.0025853509309267473,0.000992299360839271,0.0026941446532260504,0.04242640687119285,0.02771281292110205
