collection,k_requested,k_effective,clipped,repeat_id,seed,untouched,c_hat,c_star,ev_ad_probe,ev_glob_probe,ev_trunc,ev_ad,ev_ad_c,ev_glob,select3,select2,pick3,pick2,regret3,cal_loss,pair_pool_budget,n_eval
trec-covid,5,5,False,0,2000032,False,189.06252221681592,279.6469660092581,0.10867909733768528,0.05461200416831071,0.029611584660987084,0.01404991989288321,0.1166691547166252,0.005614659860322633,0.10867909733768528,0.10867909733768528,ad_probe,ad_probe,0.0,0.007990057378939916,466,45
trec-covid,5,5,False,1,2001032,False,347.6072552166016,279.6469660092581,0.12862162608920927,0.057636043840447876,0.031521793598808676,0.015287590296536908,0.12293892260290581,0.00588132563774492,0.12862162608920927,0.12862162608920927,ad_probe,ad_probe,0.0,0.005682703486303453,449,45
trec-covid,5,5,False,2,2002032,False,232.85945990613448,279.6469660092581,0.11515546876550241,0.056333393720329084,0.029678453424629152,0.014621340549042716,0.11957882409950282,0.005940079367524805,0.11515546876550241,0.11515546876550241,ad_probe,ad_probe,0.0,0.0044233553340004145,481,45
trec-covid,5,5,False,3,2003032,False,338.5795856478481,279.6469660092581,0.1186802539166524,0.052693618265284355,0.029506506253788194,0.014034234266517908,0.11388662236306267,0.005405086392425775,0.1186802539166524,0.1186802539166524,ad_probe,ad_probe,0.0,0.004793631553589736,392,45
trec-covid,5,5,False,4,2004032,False,260.5709487838334,279.6469660092581,0.12222904489416918,0.05974624093181792,0.0324197789749179,0.015391659465104,0.12402717170459311,0.005857185503126042,0.12222904489416918,0.12222904489416918,ad_probe,ad_probe,0.0,0.0017981268104239334,500,45
trec-covid,5,5,False,5,2005032,False,243.83419791769867,279.6469660092581,0.11523161485572893,0.05600423225788364,0.03019418436616862,0.014511134806557198,0.11870776277262846,0.005775376550044316,0.11523161485572893,0.11523161485572893,ad_probe,ad_probe,0.0,0.0034761479168995274,456,45
trec-covid,5,5,False,6,2006032,False,232.3157992890183,279.6469660092581,0.11273369782632632,0.05455688987389353,0.029560571377975863,0.014098995069106245,0.11697414643828377,0.006227570341654166,0.11273369782632632,0.11273369782632632,ad_probe,ad_probe,0.0,0.004240448611957451,463,45
trec-covid,5,5,False,7,2007032,False,338.5795856478481,279.6469660092581,0.1278354685224659,0.05830097372560213,0.031030144989479206,0.014835361937515414,0.12262564403960646,0.006093262954138981,0.1278354685224659,0.1278354685224659,ad_probe,ad_probe,0.0,0.005209824482859449,458,45
trec-covid,5,5,False,8,2008032,False,190.08754618577723,279.6469660092581,0.10668383214703389,0.05459436416242538,0.0303141149202005,0.014827305902008064,0.11494201979621894,0.005442897965600586,0.10668383214703389,0.10668383214703389,ad_probe,ad_probe,0.0,0.008258187649185053,434,45
trec-covid,5,5,False,9,2009032,False,349.11416170627507,279.6469660092581,0.12609173050216516,0.05628159045713013,0.031206305924362788,0.014500652561462544,0.11994909889140018,0.00567138042017106,0.12609173050216516,0.12609173050216516,ad_probe,ad_probe,0.0,0.006142631610764976,441,45
trec-covid,5,5,False,10,2010032,False,338.5795856478481,279.6469660092581,0.12694039398438164,0.057241607449951125,0.03130881027952078,0.015187610188955748,0.12200260122847752,0.00592905166081075,0.12694039398438164,0.12694039398438164,ad_probe,ad_probe,0.0,0.004937792755904127,455,45
trec-covid,5,5,False,11,2011032,False,201.40712581021023,279.6469660092581,0.1117139617873309,0.05569912466493235,0.030666293439384415,0.014022182552032686,0.11911453246139452,0.004580365060738986,0.1117139617873309,0.1117139617873309,ad_probe,ad_probe,0.0,0.00740057067406362,430,45
trec-covid,5,5,False,12,2012032,False,215.10847693738978,279.6469660092581,0.11339801256175096,0.05643688459321672,0.03087961536026535,0.014362735104968924,0.11947698241403393,0.005514286102597852,0.11339801256175096,0.11339801256175096,ad_probe,ad_probe,0.0,0.00607896985228297,430,45
trec-covid,5,5,False,13,2013032,False,178.18394772028688,279.6469660092581,0.10711318034450452,0.05452182567650219,0.030408503997083395,0.013822697977306035,0.1186699218451835,0.005643268915889326,0.10711318034450452,0.10711318034450452,ad_probe,ad_probe,0.0,0.01155674150067898,427,45
trec-covid,5,5,False,14,2014032,False,283.65440026086605,279.6469660092581,0.12147569786973096,0.05614979005515587,0.03069534849100127,0.013653784666421065,0.12068301288254017,0.005421159613462803,0.12147569786973096,0.12147569786973096,ad_probe,ad_probe,0.0,0.0007926849871907893,437,45
trec-covid,5,5,False,15,2015032,False,319.80371106841994,279.6469660092581,0.12209328917864892,0.055706776507790184,0.030471228129380912,0.015274511690837047,0.11798907433191391,0.005646773801213303,0.12209328917864892,0.12209328917864892,ad_probe,ad_probe,0.0,0.00410421484673501,443,45
