collection,repeat_id,decision,final_T,final_B_pool,k_requested,selected_policy,reference_policy,loss,success,param_error,seed
trec-covid,28,recalibration,5,453,5,ad_probe,ad_c(full_target_scalar_reference),0.006275319953644637,False,64.53848907186833,2028032
trec-covid,28,selection,5,453,5,ad_probe,best_in_menu_on_eval,0.0,True,,2028032
trec-covid,29,recalibration,5,495,5,ad_probe,ad_c(full_target_scalar_reference),0.002802788229855885,True,26.03325693549681,2029032
trec-covid,29,selection,5,495,5,ad_probe,best_in_menu_on_eval,0.0,True,,2029032
trec-covid,30,recalibration,5,441,5,ad_probe,ad_c(full_target_scalar_reference),0.013286826650260167,False,111.16893438369246,2030032
trec-covid,30,selection,5,441,5,ad_probe,best_in_menu_on_eval,0.0,True,,2030032
trec-covid,31,recalibration,5,424,5,ad_probe,ad_c(full_target_scalar_reference),0.007375587580492143,False,76.89183000158846,2031032
trec-covid,31,selection,5,424,5,ad_probe,best_in_menu_on_eval,0.0,True,,2031032
trec-covid,32,recalibration,5,446,5,ad_probe,ad_c(full_target_scalar_reference),0.0016257493612065882,True,19.07601722542472,2032032
trec-covid,32,selection,5,446,5,ad_probe,best_in_menu_on_eval,0.0,True,,2032032
trec-covid,33,recalibration,5,459,5,ad_probe,ad_c(full_target_scalar_reference),0.007283501835517681,False,78.23984019904788,2033032
trec-covid,33,selection,5,459,5,ad_probe,best_in_menu_on_eval,0.0,True,,2033032
trec-covid,34,recalibration,5,470,5,ad_probe,ad_c(full_target_scalar_reference),0.006645060681849058,False,78.4777126244175,2034032
trec-covid,34,selection,5,470,5,ad_probe,best_in_menu_on_eval,0.0,True,,2034032
trec-covid,35,recalibration,5,478,5,ad_probe,ad_c(full_target_scalar_reference),0.007024166874209953,False,78.4777126244175,2035032
trec-covid,35,selection,5,478,5,ad_probe,best_in_menu_on_eval,0.0,True,,2035032
trec-covid,36,recalibration,5,420,5,ad_probe,ad_c(full_target_scalar_reference),0.004200951837483924,True,40.156745059161835,2036032
trec-covid,36,selection,5,420,5,ad_probe,best_in_menu_on_eval,0.0,True,,2036032
trec-covid,37,recalibration,5,465,5,ad_probe,ad_c(full_target_scalar_reference),0.004378229934135447,True,51.608519899114754,2037032
trec-covid,37,selection,5,465,5,ad_probe,best_in_menu_on_eval,0.0,True,,2037032
trec-covid,38,recalibration,5,481,5,ad_probe,ad_c(full_target_scalar_reference),0.009081176656617548,False,147.49048550850972,2038032
trec-covid,38,selection,5,481,5,ad_probe,best_in_menu_on_eval,0.0,True,,2038032
trec-covid,39,recalibration,5,448,5,ad_probe,ad_c(full_target_scalar_reference),0.004473528099936508,True,51.608519899114754,2039032
trec-covid,39,selection,5,448,5,ad_probe,best_in_menu_on_eval,0.0,True,,2039032
trec-covid,40,recalibration,5,488,5,ad_probe,ad_c(full_target_scalar_reference),0.00490912719428184,True,49.54448109632597,2040032
trec-covid,40,selection,5,488,5,ad_probe,best_in_menu_on_eval,0.0,True,,2040032
trec-covid,41,recalibration,5,475,5,ad_probe,ad_c(full_target_scalar_reference),0.0007330235977044686,True,4.007434251607947,2041032
trec-covid,41,selection,5,475,5,ad_probe,best_in_menu_on_eval,0.0,True,,2041032
trec-covid,42,recalibration,5,449,5,ad_probe,ad_c(full_target_scalar_reference),0.001829537483361815,True,19.07601722542472,2042032
trec-covid,42,selection,5,449,5,ad_probe,best_in_menu_on_eval,0.0,True,,2042032
trec-covid,43,recalibration,5,440,5,ad_probe,ad_c(full_target_scalar_reference),0.00661551012865387,False,81.49417566398523,2043032
trec-covid,43,selection,5,440,5,ad_probe,best_in_menu_on_eval,0.0,True,,2043032
