collection,judge,pair,T,n_queries,judge_acc,rho,true_gap,se_human,se_ppi,ess_gain,theory_gain,lam_mean
nfcorpus,rr,glob_probe_vs_trunc,10,323,0.8606809967662165,0.271453424630677,0.026137926967710643,0.02858042766098367,0.025583455548586508,1.2480127948866948,1.079548660874334,0.2617892758595901
nfcorpus,rr,glob_probe_vs_trunc,30,323,0.8606809967662165,0.271453424630677,0.026137926967710643,0.018474794044634188,0.017300314186532457,1.140384302608828,1.079548660874334,0.27839610910600593
nfcorpus,rr,glob_probe_vs_trunc,90,323,0.8606809967662165,0.271453424630677,0.026137926967710643,0.011089321639568116,0.01073867942661258,1.0663707016727626,1.079548660874334,0.24871015368351038
nfcorpus,rr,glob_probe_vs_ad_probe,10,323,0.8606809967662165,0.14897892666732448,0.002653453885154838,0.011474041938931406,0.010622017918876561,1.1668601450426332,1.0226985076255282,0.18469615994951544
nfcorpus,rr,glob_probe_vs_ad_probe,30,323,0.8606809967662165,0.14897892666732448,0.002653453885154838,0.007494415274735822,0.007264134912476786,1.0644069594793468,1.0226985076255282,0.16797669830528653
nfcorpus,rr,glob_probe_vs_ad_probe,90,323,0.8606809967662165,0.14897892666732448,0.002653453885154838,0.00448047591640863,0.004422877480126247,1.0262152791802859,1.0226985076255282,0.13493291020404594
nfcorpus,rr,trunc_vs_ad_probe,10,323,0.8606809967662165,0.2542581537623216,-0.023484473082555805,0.031315798163342005,0.02762892222581145,1.2846921866116967,1.0691153213629156,0.29805620700454266
nfcorpus,rr,trunc_vs_ad_probe,30,323,0.8606809967662165,0.2542581537623216,-0.023484473082555805,0.01886734215994702,0.01777462261865353,1.1267321156689485,1.0691153213629156,0.25440030750611575
nfcorpus,rr,trunc_vs_ad_probe,90,323,0.8606809967662165,0.2542581537623216,-0.023484473082555805,0.011555082459982564,0.011197543360205392,1.064879808795707,1.0691153213629156,0.24989283513059
scifact,rr,glob_probe_vs_trunc,10,300,0.9012296532200991,0.13862499009301898,0.29764047510648195,0.1145792089924654,0.1082069299469238,1.1212475025121849,1.0195934122853298,0.45479132099671704
scifact,rr,glob_probe_vs_trunc,30,300,0.9012296532200991,0.13862499009301898,0.29764047510648195,0.06796466981941417,0.06649554514234464,1.0446752872247844,1.0195934122853298,0.3077230088857333
scifact,rr,glob_probe_vs_trunc,90,300,0.9012296532200991,0.13862499009301898,0.29764047510648195,0.03906308054929202,0.0387070779047334,1.0184792965445493,1.0195934122853298,0.2588318939131692
scifact,rr,glob_probe_vs_ad_probe,10,300,0.9012296532200991,0.09553966329083007,0.04968253968253968,0.06860000720508133,0.06505788879962614,1.1118556081270352,1.009211912003241,0.3683391890865454
scifact,rr,glob_probe_vs_ad_probe,30,300,0.9012296532200991,0.09553966329083007,0.04968253968253968,0.04050368104713513,0.03969462613408817,1.0411793767324609,1.009211912003241,0.2675356493536386
scifact,rr,glob_probe_vs_ad_probe,90,300,0.9012296532200991,0.09553966329083007,0.04968253968253968,0.02392591222050349,0.02375386553745733,1.014538243516397,1.009211912003241,0.22237127637961596
scifact,rr,trunc_vs_ad_probe,10,300,0.9012296532200991,-0.046964341955910156,-0.24795793542394226,0.09565277270836119,0.09311695991230887,1.0552067234596318,1.0022105250586548,0.24526116667827996
scifact,rr,trunc_vs_ad_probe,30,300,0.9012296532200991,-0.046964341955910156,-0.24795793542394226,0.05536633235881537,0.05508492043078505,1.0102434840369332,1.0022105250586548,0.10226455921690376
scifact,rr,trunc_vs_ad_probe,90,300,0.9012296532200991,-0.046964341955910156,-0.24795793542394226,0.03251311615415471,0.03249772490150687,1.0009474446239734,1.0022105250586548,0.027768511618080353
arguana,rr,glob_probe_vs_trunc,10,1406,0.816283950168007,0.21533940759310694,0.051815435411513365,0.05925332506677224,0.05435693770779686,1.1882709735502643,1.0486258947689258,0.422480989359676
arguana,rr,glob_probe_vs_trunc,30,1406,0.816283950168007,0.21533940759310694,0.051815435411513365,0.034802545704223024,0.033329649947135304,1.0903364232393709,1.0486258947689258,0.3757412756784477
arguana,rr,glob_probe_vs_trunc,90,1406,0.816283950168007,0.21533940759310694,0.051815435411513365,0.0203127622068328,0.019723232696913603,1.060673629804424,1.0486258947689258,0.35596990235487574
arguana,rr,glob_probe_vs_ad_probe,10,1406,0.816283950168007,0.07189608459267482,0.10802628415061198,0.07667646941692591,0.07395646154347321,1.0749096623401069,1.0051959048560604,0.2746868115896243
arguana,rr,glob_probe_vs_ad_probe,30,1406,0.816283950168007,0.07189608459267482,0.10802628415061198,0.04422027584073472,0.043554696269076355,1.0307964534073688,1.0051959048560604,0.19856961101294937
arguana,rr,glob_probe_vs_ad_probe,90,1406,0.816283950168007,0.07189608459267482,0.10802628415061198,0.025517865717674806,0.02536643129639759,1.011975389188736,1.0051959048560604,0.13663778051533332
arguana,rr,trunc_vs_ad_probe,10,1406,0.816283950168007,0.19884287654041582,0.05621084873909863,0.06526648763539071,0.0599294848536009,1.1860401572918013,1.0411661364049642,0.4219216231273445
arguana,rr,trunc_vs_ad_probe,30,1406,0.816283950168007,0.19884287654041582,0.05621084873909863,0.03938500803302812,0.037914640068319364,1.079065982850113,1.0411661364049642,0.3429178968685226
arguana,rr,trunc_vs_ad_probe,90,1406,0.816283950168007,0.19884287654041582,0.05621084873909863,0.022432734685788113,0.021901023575655265,1.0491452398000716,1.0411661364049642,0.28655080272245187
cqadupstack-android,rr,glob_probe_vs_trunc,10,699,0.5615633780830471,-0.0034196886402724823,0.18775906558465197,0.100818603979369,0.09811953807505257,1.0557725570894312,1.000011694407154,0.1854399659161901
cqadupstack-android,rr,glob_probe_vs_trunc,30,699,0.5615633780830471,-0.0034196886402724823,0.18775906558465197,0.05982280684910329,0.05943103022667409,1.01322770076991,1.000011694407154,0.09043958531149247
cqadupstack-android,rr,glob_probe_vs_trunc,90,699,0.5615633780830471,-0.0034196886402724823,0.18775906558465197,0.03433014692949621,0.0342588538242314,1.0041663557429499,1.000011694407154,0.05208678634452312
cqadupstack-android,rr,glob_probe_vs_ad_probe,10,699,0.5615633780830471,0.06632698524956282,0.03410107294769543,0.06702472448508305,0.06443755068147777,1.0819122208444587,1.0044187080575508,0.2779464049182075
