collection,judge,budget_full_eq,eps,method,act,wrong
dl212223,llm,30,0.01,human_full,0.07666666666666666,0.0
dl212223,llm,30,0.01,human_weighted,0.22666666666666666,0.0
dl212223,llm,30,0.01,judge_ppi,0.13666666666666666,0.0
dl212223,llm,30,0.01,weighted_cv,0.23666666666666666,0.0
dl212223,llm,30,0.02,human_full,0.13666666666666666,0.0
dl212223,llm,30,0.02,human_weighted,0.3433333333333333,0.0
dl212223,llm,30,0.02,judge_ppi,0.24333333333333335,0.0
dl212223,llm,30,0.02,weighted_cv,0.41,0.0
dl212223,llm,30,0.05,human_full,0.36666666666666664,0.0
dl212223,llm,30,0.05,human_weighted,0.7333333333333333,0.0
dl212223,llm,30,0.05,judge_ppi,0.5066666666666667,0.0
dl212223,llm,30,0.05,weighted_cv,0.7633333333333333,0.0
dl212223,llm,60,0.01,human_full,0.54,0.0
dl212223,llm,60,0.01,human_weighted,0.5133333333333333,0.0
dl212223,llm,60,0.01,judge_ppi,0.5766666666666667,0.0
dl212223,llm,60,0.01,weighted_cv,0.5433333333333333,0.0
dl212223,llm,60,0.02,human_full,0.6433333333333333,0.0
dl212223,llm,60,0.02,human_weighted,0.7233333333333334,0.0
dl212223,llm,60,0.02,judge_ppi,0.7133333333333334,0.0
dl212223,llm,60,0.02,weighted_cv,0.7433333333333333,0.0
dl212223,llm,60,0.05,human_full,0.8466666666666667,0.0
dl212223,llm,60,0.05,human_weighted,0.85,0.0
dl212223,llm,60,0.05,judge_ppi,0.8466666666666667,0.0
dl212223,llm,60,0.05,weighted_cv,0.8533333333333334,0.0
dl212223,llm,90,0.01,human_full,0.7,0.0
dl212223,llm,90,0.01,human_weighted,0.5233333333333333,0.0
dl212223,llm,90,0.01,judge_ppi,0.6833333333333333,0.0
dl212223,llm,90,0.01,weighted_cv,0.5433333333333333,0.0
dl212223,llm,90,0.02,human_full,0.8566666666666667,0.0
dl212223,llm,90,0.02,human_weighted,0.74,0.0
dl212223,llm,90,0.02,judge_ppi,0.8533333333333334,0.0
dl212223,llm,90,0.02,weighted_cv,0.74,0.0
dl212223,llm,90,0.05,human_full,0.8666666666666667,0.0
dl212223,llm,90,0.05,human_weighted,0.8466666666666667,0.0
dl212223,llm,90,0.05,judge_ppi,0.8633333333333333,0.0
dl212223,llm,90,0.05,weighted_cv,0.86,0.0
