collection,judge,budget_full_eq,eps,method,act,wrong
dbpedia-entity,rr,30,0.01,human_full,0.02666666666666667,0.0033333333333333335
dbpedia-entity,rr,30,0.01,human_weighted,0.023333333333333334,0.0
dbpedia-entity,rr,30,0.01,judge_ppi,0.023333333333333334,0.0
dbpedia-entity,rr,30,0.01,weighted_cv,0.03666666666666667,0.0033333333333333335
dbpedia-entity,rr,30,0.02,human_full,0.05333333333333334,0.0
dbpedia-entity,rr,30,0.02,human_weighted,0.08,0.0
dbpedia-entity,rr,30,0.02,judge_ppi,0.06666666666666667,0.0
dbpedia-entity,rr,30,0.02,weighted_cv,0.10666666666666667,0.0
dbpedia-entity,rr,30,0.05,human_full,0.34,0.0
dbpedia-entity,rr,30,0.05,human_weighted,0.38666666666666666,0.0
dbpedia-entity,rr,30,0.05,judge_ppi,0.32,0.0
dbpedia-entity,rr,30,0.05,weighted_cv,0.4533333333333333,0.0
dbpedia-entity,rr,60,0.01,human_full,0.14333333333333334,0.0
dbpedia-entity,rr,60,0.01,human_weighted,0.2966666666666667,0.0
dbpedia-entity,rr,60,0.01,judge_ppi,0.16333333333333333,0.0
dbpedia-entity,rr,60,0.01,weighted_cv,0.3333333333333333,0.0
dbpedia-entity,rr,60,0.02,human_full,0.37,0.0
dbpedia-entity,rr,60,0.02,human_weighted,0.44,0.0
dbpedia-entity,rr,60,0.02,judge_ppi,0.38,0.0
dbpedia-entity,rr,60,0.02,weighted_cv,0.5033333333333333,0.0
dbpedia-entity,rr,60,0.05,human_full,0.73,0.0
dbpedia-entity,rr,60,0.05,human_weighted,0.89,0.0
dbpedia-entity,rr,60,0.05,judge_ppi,0.7466666666666667,0.0
dbpedia-entity,rr,60,0.05,weighted_cv,0.9066666666666666,0.0
dbpedia-entity,rr,90,0.01,human_full,0.2633333333333333,0.0
dbpedia-entity,rr,90,0.01,human_weighted,0.3,0.0
dbpedia-entity,rr,90,0.01,judge_ppi,0.2833333333333333,0.0
dbpedia-entity,rr,90,0.01,weighted_cv,0.32,0.0
dbpedia-entity,rr,90,0.02,human_full,0.4633333333333333,0.0
dbpedia-entity,rr,90,0.02,human_weighted,0.5566666666666666,0.0
dbpedia-entity,rr,90,0.02,judge_ppi,0.47333333333333333,0.0
dbpedia-entity,rr,90,0.02,weighted_cv,0.59,0.0
dbpedia-entity,rr,90,0.05,human_full,0.8,0.0
dbpedia-entity,rr,90,0.05,human_weighted,0.8933333333333333,0.0
dbpedia-entity,rr,90,0.05,judge_ppi,0.8266666666666667,0.0
dbpedia-entity,rr,90,0.05,weighted_cv,0.9333333333333333,0.0
