collection,judge,nA,budget_docs,eps,method,act,wrong
dbpedia-entity,llm,30,1542.7067669172932,0.005,human_full,0.05,0.0
dbpedia-entity,llm,30,1542.7067669172932,0.005,judge_ppi,0.08,0.0
dbpedia-entity,llm,30,1542.7067669172932,0.005,hybrid_0.5,0.04,0.0
dbpedia-entity,llm,30,1542.7067669172932,0.005,hybrid_0.7,0.085,0.0
dbpedia-entity,llm,30,1542.7067669172932,0.005,hybrid_0.85,0.075,0.0
dbpedia-entity,llm,30,1542.7067669172932,0.01,human_full,0.055,0.0
dbpedia-entity,llm,30,1542.7067669172932,0.01,judge_ppi,0.11,0.0
dbpedia-entity,llm,30,1542.7067669172932,0.01,hybrid_0.5,0.06,0.0
dbpedia-entity,llm,30,1542.7067669172932,0.01,hybrid_0.7,0.1,0.0
dbpedia-entity,llm,30,1542.7067669172932,0.01,hybrid_0.85,0.05,0.0
dbpedia-entity,llm,30,1542.7067669172932,0.02,human_full,0.11,0.0
dbpedia-entity,llm,30,1542.7067669172932,0.02,judge_ppi,0.195,0.0
dbpedia-entity,llm,30,1542.7067669172932,0.02,hybrid_0.5,0.1,0.005
dbpedia-entity,llm,30,1542.7067669172932,0.02,hybrid_0.7,0.115,0.0
dbpedia-entity,llm,30,1542.7067669172932,0.02,hybrid_0.85,0.155,0.005
dbpedia-entity,llm,60,3085.4135338345864,0.005,human_full,0.18,0.005
dbpedia-entity,llm,60,3085.4135338345864,0.005,judge_ppi,0.265,0.0
dbpedia-entity,llm,60,3085.4135338345864,0.005,hybrid_0.5,0.21,0.0
dbpedia-entity,llm,60,3085.4135338345864,0.005,hybrid_0.7,0.22,0.0
dbpedia-entity,llm,60,3085.4135338345864,0.005,hybrid_0.85,0.26,0.0
dbpedia-entity,llm,60,3085.4135338345864,0.01,human_full,0.24,0.005
dbpedia-entity,llm,60,3085.4135338345864,0.01,judge_ppi,0.33,0.0
dbpedia-entity,llm,60,3085.4135338345864,0.01,hybrid_0.5,0.24,0.0
dbpedia-entity,llm,60,3085.4135338345864,0.01,hybrid_0.7,0.315,0.0
dbpedia-entity,llm,60,3085.4135338345864,0.01,hybrid_0.85,0.33,0.0
dbpedia-entity,llm,60,3085.4135338345864,0.02,human_full,0.265,0.005
dbpedia-entity,llm,60,3085.4135338345864,0.02,judge_ppi,0.415,0.005
dbpedia-entity,llm,60,3085.4135338345864,0.02,hybrid_0.5,0.3,0.0
dbpedia-entity,llm,60,3085.4135338345864,0.02,hybrid_0.7,0.405,0.0
dbpedia-entity,llm,60,3085.4135338345864,0.02,hybrid_0.85,0.425,0.0
dbpedia-entity,llm,90,4628.12030075188,0.005,human_full,0.295,0.0
dbpedia-entity,llm,90,4628.12030075188,0.005,judge_ppi,0.42,0.0
dbpedia-entity,llm,90,4628.12030075188,0.005,hybrid_0.5,0.31,0.0
dbpedia-entity,llm,90,4628.12030075188,0.005,hybrid_0.7,0.46,0.0
dbpedia-entity,llm,90,4628.12030075188,0.005,hybrid_0.85,0.43,0.0
dbpedia-entity,llm,90,4628.12030075188,0.01,human_full,0.325,0.0
dbpedia-entity,llm,90,4628.12030075188,0.01,judge_ppi,0.47,0.0
dbpedia-entity,llm,90,4628.12030075188,0.01,hybrid_0.5,0.4,0.0
dbpedia-entity,llm,90,4628.12030075188,0.01,hybrid_0.7,0.465,0.0
dbpedia-entity,llm,90,4628.12030075188,0.01,hybrid_0.85,0.475,0.0
dbpedia-entity,llm,90,4628.12030075188,0.02,human_full,0.53,0.0
dbpedia-entity,llm,90,4628.12030075188,0.02,judge_ppi,0.71,0.0
dbpedia-entity,llm,90,4628.12030075188,0.02,hybrid_0.5,0.53,0.0
dbpedia-entity,llm,90,4628.12030075188,0.02,hybrid_0.7,0.655,0.0
dbpedia-entity,llm,90,4628.12030075188,0.02,hybrid_0.85,0.655,0.0
