collection,judge,budget_full_eq,eps,method,act,wrong,lin_bias,lin_bias_abs,docs
dbpedia-entity,llm,60,0.01,human_full,0.2,0.0,0.0035231025313113796,0.011761316096022104,3085.4135338345864
dbpedia-entity,llm,60,0.01,weighted_lin,0.125,0.075,0.0035231025313113796,0.011761316096022104,3085.4135338345864
dbpedia-entity,llm,60,0.01,judge_ppi,0.325,0.0,0.0035231025313113796,0.011761316096022104,3085.4135338345864
dbpedia-entity,llm,60,0.01,weighted_lin_cv,0.425,0.0,0.0035231025313113796,0.011761316096022104,3085.4135338345864
