stack,collection,pool_recall,best_f1,gap12,best_policy,ad_c,cal_loss@10,cal_ok@10,regret@10,sel_ok@10,cal_loss@30,cal_ok@30,regret@30,sel_ok@30,cal_loss@50,cal_ok@50,regret@50,sel_ok@50
legacy,arguana,0.9857752489331437,0.16265045757595467,0.04071957193183175,glob_probe,0.07111851539536942,0.012166540479577732,0.3,0.00326499120341302,0.9,0.00773337208656976,0.32,0.0006723640534972345,0.98,0.005990345773531616,0.5,0.0,1.0
legacy,cqadupstack-android,0.8524471533182038,0.3148810800994361,0.0076539358781961275,ad_probe,0.31954178273591805,0.013496169363540035,0.52,0.007579534877266973,0.88,0.003602536817511509,0.82,0.005375995293868161,0.88,0.002759336228837188,0.86,0.0038103581153462874,0.94
legacy,nfcorpus,0.3081019500028424,0.14826901721524047,0.0009140997571288889,ad_probe,0.14824207442324697,0.0010088263923945945,1.0,0.0069390502231644535,0.76,0.0005888564912246097,1.0,0.0021255547097810664,0.92,0.0004980931314818488,1.0,0.001981502918452867,0.98
legacy,scifact,0.9633333333333334,0.4969297971315852,0.027138147186903272,glob_probe,0.4677455336752553,0.009873727422003282,0.3,0.006969373921098068,0.8,0.006492635348190905,0.4,0.007630421019309909,0.8,0.004301835497835495,0.66,0.004292096792096788,0.84
modern,arguana,0.9914651493598862,0.16553178129017837,0.04332248037100868,glob_probe,0.06598915414981038,0.007690198849224636,0.3,0.005281143137643691,0.84,0.005963385613094916,0.5,0.0020030804723729727,0.96,0.004880919064547381,0.64,0.0,1.0
modern,cqadupstack-android,0.8644930738312269,0.35589935388422184,0.022962035979359252,glob_probe,0.3366910307171361,0.016552554462380804,0.26,0.005796306746975791,0.86,0.005929843654843454,0.46,0.003961931675385507,0.88,0.005083131122526752,0.66,0.005163938697395492,0.84
modern,nfcorpus,0.32129621333818126,0.1590560649681871,0.0027604962591031845,ad_probe,0.1601561962691402,0.002383767084834407,0.88,0.00465325165397538,0.84,0.0013581637305641497,1.0,0.0031190310649182713,0.88,0.0012785935818172068,1.0,0.0027234394431973536,0.88
modern,scifact,0.9566666666666667,0.5249900840749525,0.029282416797052846,glob_probe,0.4898868570617689,0.012836652236652236,0.32,0.00600355276907001,0.82,0.009587648976537883,0.38,0.0018313932980599612,0.92,0.008167301587301588,0.58,0.001332825396825401,0.96
