collection,k_requested,k_effective,clipped,repeat_id,seed,untouched,c_hat,c_star,ev_ad_probe,ev_glob_probe,ev_trunc,ev_ad,ev_ad_c,ev_glob,select3,select2,pick3,pick2,regret3,cal_loss,pair_pool_budget,n_eval
trec-covid,5,5,False,0,2000032,False,189.06252221681592,279.6469660092581,0.5692109636331792,0.6977075590631109,0.6980815810921316,0.748706547779094,0.5464990254295523,0.6587410667587149,0.6980815810921316,0.6977075590631109,trunc,glob_probe,0.0,0.022711938203626936,466,45
trec-covid,5,5,False,1,2001032,False,347.6072552166016,279.6469660092581,0.5244565579986995,0.6738858200439074,0.6790868212205483,0.7393164752824343,0.5320190292985554,0.6371618413495436,0.6738858200439074,0.6738858200439074,glob_probe,glob_probe,0.005201001176640907,0.007562471299855877,449,45
trec-covid,5,5,False,2,2002032,False,232.85945990613448,279.6469660092581,0.5538919335037384,0.64247468950423,0.6841410782289585,0.7401770422703071,0.5449756010241515,0.64247468950423,0.6841410782289585,0.64247468950423,trunc,glob_probe,0.0,0.008916332479586897,481,45
trec-covid,5,5,False,3,2003032,False,338.5795856478481,279.6469660092581,0.49597481156917606,0.6715401948868713,0.6520856613556576,0.6994687652985541,0.5026610801652999,0.611443808442166,0.6715401948868713,0.6715401948868713,glob_probe,glob_probe,0.0,0.006686268596123812,392,45
trec-covid,5,5,False,4,2004032,False,260.5709487838334,279.6469660092581,0.5593164032469427,0.6934810935063236,0.7096919983510221,0.7334847936091596,0.5562739054324128,0.6686221751810462,0.6934810935063236,0.6934810935063236,glob_probe,glob_probe,0.01621090484469856,0.00304249781452981,500,45
trec-covid,5,5,False,5,2005032,False,243.83419791769867,279.6469660092581,0.5442028943167322,0.6895044329509694,0.6897463117060386,0.7298394959365903,0.5380888271031817,0.6520542041226247,0.6895044329509694,0.6895044329509694,glob_probe,glob_probe,0.00024187875506920253,0.006114067213550456,456,45
trec-covid,5,5,False,6,2006032,False,232.3157992890183,279.6469660092581,0.5460838884066693,0.6901205592804203,0.6821420759441441,0.7164767794538567,0.5373185817511763,0.6405324769343419,0.6901205592804203,0.6901205592804203,glob_probe,glob_probe,0.0,0.008765306655493021,463,45
trec-covid,5,5,False,7,2007032,False,338.5795856478481,279.6469660092581,0.5217583190993581,0.6733353969353731,0.6783047685114529,0.7340994952810908,0.5276317519237572,0.6353968663386357,0.6783047685114529,0.6733353969353731,trunc,glob_probe,0.0,0.005873432824399116,458,45
trec-covid,5,5,False,8,2008032,False,190.08754618577723,279.6469660092581,0.5412353147391303,0.6708274873532937,0.6784906259219364,0.7284154855985279,0.5216417639254326,0.6344999130825987,0.6708274873532937,0.6708274873532937,glob_probe,glob_probe,0.007663138568642758,0.019593550813697735,434,45
trec-covid,5,5,False,9,2009032,False,349.11416170627507,279.6469660092581,0.5177609613135031,0.6922013814966432,0.6738961580612204,0.7302877165704329,0.5247668893601856,0.6323052406787557,0.6922013814966432,0.6922013814966432,glob_probe,glob_probe,0.0,0.00700592804668243,441,45
trec-covid,5,5,False,10,2010032,False,338.5795856478481,279.6469660092581,0.5196137924782073,0.670530071823146,0.6743498654887016,0.7151113894993126,0.5257456278654347,0.6320977257592462,0.670530071823146,0.670530071823146,glob_probe,glob_probe,0.0038197936655556264,0.006131835387227391,455,45
trec-covid,5,5,False,11,2011032,False,201.40712581021023,279.6469660092581,0.548134177076794,0.5693176063810204,0.6778430915650773,0.7112625713869373,0.5310276103314154,0.6386367710032457,0.5693176063810204,0.5693176063810204,glob_probe,glob_probe,0.10852548518405691,0.017106566745378582,430,45
trec-covid,5,5,False,12,2012032,False,215.10847693738978,279.6469660092581,0.5347533691702437,0.6691063409412388,0.6725903967049602,0.7186045430710438,0.5201479570836441,0.6322526484555043,0.6691063409412388,0.6691063409412388,glob_probe,glob_probe,0.003484055763721461,0.0146054120865996,430,45
trec-covid,5,5,False,13,2013032,False,178.18394772028688,279.6469660092581,0.5511560587064692,0.5998931713383192,0.6778719421697176,0.7335619837741264,0.5313431395733539,0.6351392755993929,0.6778719421697176,0.5998931713383192,trunc,glob_probe,0.0,0.019812919133115336,427,45
