collection,judge,budget_full_eq,eps,method,act,wrong,var_est
cast19,inv,30,0.01,uniform,0.0033333333333333335,0.0,0.268805574574202
cast19,inv,30,0.01,weighted,0.013333333333333334,0.0,0.06539667485094455
cast19,inv,30,0.01,active_judge,0.006666666666666667,0.0,0.15290339777792739
cast19,inv,30,0.01,strat_pilot,0.03666666666666667,0.0033333333333333335,0.06576434684792114
cast19,inv,30,0.01,weighted_cv,0.0033333333333333335,0.0,0.07761763402717049
cast19,inv,30,0.01,active_cv,0.0,0.0,0.17331277123635544
cast19,inv,30,0.02,uniform,0.013333333333333334,0.0,0.2494852192137906
cast19,inv,30,0.02,weighted,0.02666666666666667,0.0,0.06511380075186225
cast19,inv,30,0.02,active_judge,0.01,0.0,0.14646608810385772
cast19,inv,30,0.02,strat_pilot,0.023333333333333334,0.0,0.06590715387642372
cast19,inv,30,0.02,weighted_cv,0.03333333333333333,0.0,0.07473311006306003
cast19,inv,30,0.02,active_cv,0.01,0.0,0.16787368867868674
cast19,inv,45,0.01,uniform,0.013333333333333334,0.0,0.19709138497286982
cast19,inv,45,0.01,weighted,0.05333333333333334,0.0,0.05048813770639433
cast19,inv,45,0.01,active_judge,0.006666666666666667,0.0,0.11340318323256386
cast19,inv,45,0.01,strat_pilot,0.05333333333333334,0.0,0.052304066310875724
cast19,inv,45,0.01,weighted_cv,0.04666666666666667,0.0033333333333333335,0.05864685209384771
cast19,inv,45,0.01,active_cv,0.013333333333333334,0.0,0.13471112479329675
cast19,inv,45,0.02,uniform,0.03666666666666667,0.0,0.2108681495072544
cast19,inv,45,0.02,weighted,0.12666666666666668,0.0,0.051944523292158325
cast19,inv,45,0.02,active_judge,0.06,0.0,0.11753538287710112
cast19,inv,45,0.02,strat_pilot,0.14,0.0,0.052626301127115575
cast19,inv,45,0.02,weighted_cv,0.10333333333333333,0.0,0.06073580420545388
cast19,inv,45,0.02,active_cv,0.06,0.0,0.13544342852032173
cast19,inv,60,0.01,uniform,0.02,0.0033333333333333335,0.13787727471572506
cast19,inv,60,0.01,weighted,0.1,0.0,0.033361862437912386
cast19,inv,60,0.01,active_judge,0.05,0.0,0.07170199876487213
cast19,inv,60,0.01,strat_pilot,0.10333333333333333,0.0,0.033463422411298654
cast19,inv,60,0.01,weighted_cv,0.1,0.0,0.03759164353172076
cast19,inv,60,0.01,active_cv,0.02666666666666667,0.0,0.08012182864334094
cast19,inv,60,0.02,uniform,0.04666666666666667,0.0,0.13447077766604432
cast19,inv,60,0.02,weighted,0.21666666666666667,0.0,0.032905652650764936
cast19,inv,60,0.02,active_judge,0.13333333333333333,0.0,0.06968374475403011
cast19,inv,60,0.02,strat_pilot,0.24,0.0,0.032532942691181975
cast19,inv,60,0.02,weighted_cv,0.21,0.0,0.037047421601957765
cast19,inv,60,0.02,active_cv,0.12333333333333334,0.0,0.07713045329772474
cast19,inv,90,0.01,uniform,0.04666666666666667,0.0033333333333333335,0.07335152779340093
cast19,inv,90,0.01,weighted,0.18666666666666668,0.0,0.019234060772047677
cast19,inv,90,0.01,active_judge,0.08,0.0,0.03296217425355815
cast19,inv,90,0.01,strat_pilot,0.15666666666666668,0.0,0.019125495661874017
cast19,inv,90,0.01,weighted_cv,0.2,0.0,0.02024828420460406
cast19,inv,90,0.01,active_cv,0.11333333333333333,0.0,0.035877298365757496
cast19,inv,90,0.02,uniform,0.08666666666666667,0.0,0.07126474711391062
cast19,inv,90,0.02,weighted,0.38666666666666666,0.0,0.01919100385005489
cast19,inv,90,0.02,active_judge,0.22,0.0,0.03213964137415719
cast19,inv,90,0.02,strat_pilot,0.36666666666666664,0.0,0.019258157900587245
cast19,inv,90,0.02,weighted_cv,0.36333333333333334,0.0,0.02037651728233755
cast19,inv,90,0.02,active_cv,0.22666666666666666,0.0,0.035508642503821325
