collection,method,act_rate,mean_T,wrong_cert_rate
arguana,loo_boot,0.96,46.8,0.04
arguana,recal_bp,0.16,82.4,0.08
arguana,recal_ep,0.2,81.2,0.1
arguana,split_ppi,0.28,85.6,0.02
arguana,split_t,0.34,84.0,0.02
cqadupstack-android,loo_boot,0.5,62.8,0.08
cqadupstack-android,recal_bp,0.08,88.8,0.0
cqadupstack-android,recal_ep,0.32,80.8,0.02
cqadupstack-android,split_ppi,0.14,87.6,0.0
cqadupstack-android,split_t,0.1,88.4,0.0
nfcorpus,loo_boot,0.8,54.0,0.02
nfcorpus,recal_bp,0.74,72.4,0.0
nfcorpus,recal_ep,0.92,58.8,0.0
nfcorpus,split_ppi,0.38,79.2,0.02
nfcorpus,split_t,0.24,84.4,0.02
scifact,loo_boot,0.82,46.0,0.06
scifact,recal_bp,0.02,88.4,0.02
scifact,recal_ep,0.06,86.0,0.04
scifact,split_ppi,0.14,88.0,0.02
scifact,split_t,0.12,89.2,0.0
