collection,k_requested,k_effective,clipped,repeat_id,seed,untouched,c_hat,c_star,ev_ad_probe,ev_glob_probe,ev_trunc,ev_ad,ev_ad_c,ev_glob,select3,select2,pick3,pick2,regret3,cal_loss,pair_pool_budget,n_eval
nfcorpus,10,10,False,0,733,False,8.393976461092036,13.873219121216042,0.15798646731180163,0.1599557971227035,0.13668096595385232,0.1397614641249305,0.1577914394612879,0.15333903841390673,0.1599557971227035,0.1599557971227035,glob_probe,glob_probe,0.0,0.00019502785051372928,815,313
nfcorpus,10,10,False,1,1733,False,16.38970296494196,13.873219121216042,0.1573921192409733,0.16097242454265687,0.13757792046304504,0.13780369683995725,0.15829956965123518,0.15274477059515415,0.16097242454265687,0.16097242454265687,glob_probe,glob_probe,0.0,0.0009074504102618841,830,313
nfcorpus,10,10,False,2,2733,False,20.108554759643997,13.873219121216042,0.16084566485100477,0.16074692814370586,0.13914420916082137,0.13989183295309213,0.1626741747747984,0.15452759714064557,0.16084566485100477,0.16074692814370586,ad_probe,glob_probe,0.0,0.0018285099237936309,868,313
nfcorpus,10,10,False,3,3733,False,5.00717309149671,13.873219121216042,0.1547845837283281,0.037642489014779505,0.1363825273061904,0.1382111782089845,0.16072600069304457,0.15414146037930726,0.1363825273061904,0.037642489014779505,trunc,glob_probe,0.018402056422137686,0.005941416964716478,790,313
nfcorpus,10,10,False,4,4733,False,10.927217515561614,13.873219121216042,0.16283126115804397,0.16323028426052608,0.13806319421547147,0.14133239300750133,0.16145131385941414,0.15583830430575438,0.16283126115804397,0.16283126115804397,ad_probe,ad_probe,0.0003990231024821045,0.0013799472986298356,904,313
nfcorpus,10,10,False,5,5733,False,14.232525868439451,13.873219121216042,0.16146492571339602,0.16236712408573162,0.13763722537400716,0.14081133449739563,0.1611822274721986,0.15523574593720624,0.16236712408573162,0.16236712408573162,glob_probe,glob_probe,0.0,0.00028269824119742104,772,313
nfcorpus,10,10,False,6,6733,False,16.20273568280509,13.873219121216042,0.15930200998182661,0.12439891637478713,0.13790937397206138,0.1386373743753208,0.16161311282039703,0.15336772473715352,0.12439891637478713,0.12439891637478713,glob_probe,glob_probe,0.034903093607039484,0.002311102838570417,807,313
nfcorpus,10,10,False,7,7733,False,16.087941590808747,13.873219121216042,0.15849142652044748,0.1525048850226666,0.13659943507905667,0.1392042613219723,0.16037772378926918,0.1525048850226666,0.15849142652044748,0.1525048850226666,ad_probe,glob_probe,0.0,0.0018862972688216961,800,313
nfcorpus,10,10,False,8,8733,False,12.701448491636679,13.873219121216042,0.15955469520953183,0.15886960371790196,0.13573720400531858,0.13871490718480517,0.15927275104659314,0.15328413330707497,0.15955469520953183,0.15886960371790196,ad_probe,glob_probe,0.0,0.0002819441629386965,871,313
nfcorpus,10,10,False,9,9733,False,13.277305985127832,13.873219121216042,0.15528349941741984,0.15795612399120382,0.13453283947852268,0.13503357947225275,0.1552040160080636,0.14906209513557328,0.15795612399120382,0.15528349941741984,glob_probe,ad_probe,0.0,7.948340935623466e-05,799,313
nfcorpus,10,10,False,10,10733,False,9.54322270067092,13.873219121216042,0.16081595076567973,0.15086544490288387,0.13528213983829224,0.1378773572795098,0.15920482048901974,0.15086544490288387,0.16081595076567973,0.15086544490288387,ad_probe,glob_probe,0.0,0.0016111302766599889,826,313
nfcorpus,10,10,False,11,11733,False,11.527466655414422,13.873219121216042,0.16134786830780906,0.16275279719712324,0.13845544784177738,0.14035979003622814,0.1605422920186658,0.15513571363372136,0.16134786830780906,0.16275279719712324,ad_probe,glob_probe,0.0014049288893141776,0.0008055762891432672,854,313
nfcorpus,10,10,False,12,12733,False,12.633004465572354,13.873219121216042,0.15874182051124594,0.15119028543051571,0.1333889598721343,0.1364780790568449,0.15864140677193142,0.15119028543051571,0.1333889598721343,0.15119028543051571,trunc,glob_probe,0.02535286063911163,0.00010041373931451991,897,313
nfcorpus,10,10,False,13,13733,False,8.780011928305768,13.873219121216042,0.1594756225237272,0.15832811698717542,0.13354079606230534,0.13750028101246428,0.15974388225622776,0.15232032530314493,0.13354079606230534,0.15832811698717542,trunc,glob_probe,0.025934826461421867,0.00026825973250055313,865,313
nfcorpus,10,10,False,14,14733,False,24.477404039864403,13.873219121216042,0.15906655893855537,0.16402167625166938,0.13975007613873233,0.14231860995207699,0.16257938480040626,0.15738620872926143,0.15906655893855537,0.15906655893855537,ad_probe,ad_probe,0.004955117313114016,0.0035128258618508934,873,313
